iter	MultiClass
0	1.500364392
1	1.398609812
2	1.328112023
3	1.26361045
4	1.209717619
5	1.168300021
6	1.126759293
7	1.088501547
8	1.05594269
9	1.030208274
10	0.9996780974
11	0.9737859941
12	0.9521209311
13	0.9302743009
14	0.9133304252
15	0.8979836756
16	0.8841635368
17	0.8700313865
18	0.8581509536
19	0.843487926
20	0.8332016548
21	0.8224888559
22	0.8142571656
23	0.8032710561
24	0.7941181514
25	0.7849033209
26	0.7781833165
27	0.7706230804
28	0.7644631106
29	0.7605757557
30	0.7548987899
31	0.7491927957
32	0.7443723179
33	0.7399284229
34	0.7354905736
35	0.7306990135
36	0.7265633622
37	0.7209454908
38	0.7177629107
39	0.7138383019
40	0.7096555918
41	0.7060040911
42	0.7021474533
43	0.6992441043
44	0.6969181866
45	0.6929378546
46	0.6894757618
47	0.685568154
48	0.6814492874
49	0.6784661434
50	0.6743401422
51	0.6705741365
52	0.6676423892
53	0.6650530663
54	0.6628651857
55	0.6602312838
56	0.6572719147
57	0.6542776445
58	0.6524674207
59	0.6499138603
60	0.647609213
61	0.6446197551
62	0.6417636607
63	0.6389251742
64	0.6368220013
65	0.6339308956
66	0.633743744
67	0.6310625353
68	0.6295510285
69	0.6267904876
70	0.6249538736
71	0.6227706378
72	0.6208777179
73	0.6177452463
74	0.615549098
75	0.6141671357
76	0.6111539161
77	0.6090903584
78	0.6076362777
79	0.6051924563
80	0.6038467424
81	0.6021368953
82	0.6007012529
83	0.5994498654
84	0.5976411391
85	0.5959496276
86	0.5942711756
87	0.5924483062
88	0.5909743013
89	0.5894364847
90	0.5864939058
91	0.5844162854
92	0.5832830242
93	0.5815662628
94	0.5785501488
95	0.5771493051
96	0.5752687389
97	0.5730464441
98	0.5720489666
99	0.5710436181
100	0.5693836189
101	0.5680424042
102	0.5662452854
103	0.5650017317
104	0.5631855344
105	0.5618575602
106	0.5603751382
107	0.5589278317
108	0.557526532
109	0.5562340787
110	0.5541147395
111	0.5526813227
112	0.5514728173
113	0.5498880263
114	0.5486767851
115	0.5471760207
116	0.545963744
117	0.5445278481
118	0.5429866415
119	0.5405131151
120	0.5396354953
121	0.5385539309
122	0.5370556528
123	0.536126907
124	0.5344750223
125	0.5327280517
126	0.5313913303
127	0.5296317654
128	0.5287918822
129	0.5274618796
130	0.5268277675
131	0.5255735741
132	0.5247585147
133	0.5237084274
134	0.5221471192
135	0.5206628962
136	0.5194417488
137	0.5184800755
138	0.5171039999
139	0.5158124097
140	0.5147926608
141	0.513667417
142	0.5122139209
143	0.5114040976
144	0.5104890599
145	0.5085750978
146	0.5068495921
147	0.5052479323
148	0.5044477835
149	0.5033143815
150	0.5025319322
151	0.5012599173
152	0.5002887216
153	0.4995770677
154	0.4980486416
155	0.4970211188
156	0.4958582073
157	0.4944808975
158	0.4927378225
159	0.4916788721
160	0.4908552258
161	0.4894767248
162	0.4883943823
163	0.4874667124
164	0.486568776
165	0.4856053984
166	0.4850036588
167	0.4840041054
168	0.4828797689
169	0.4818336013
170	0.4801574911
171	0.4795175268
172	0.4785160751
173	0.4773728754
174	0.4760085058
175	0.4747192942
176	0.4731879319
177	0.4721804668
178	0.4708414604
179	0.4698026849
180	0.4687466746
181	0.4681711247
182	0.4665600331
183	0.4653443913
184	0.4639113605
185	0.463464717
186	0.4622274703
187	0.4607104739
188	0.4603641766
189	0.4594505604
190	0.4588786593
191	0.4585351728
192	0.4573787982
193	0.4567838771
194	0.4554694141
195	0.4544795328
196	0.4535342834
197	0.4530647767
198	0.4521141852
199	0.450883261
200	0.4495519805
201	0.448790587
202	0.4477177511
203	0.4470818972
204	0.4460210298
205	0.4450614506
206	0.444380945
207	0.4437424281
208	0.4428743163
209	0.4419183872
210	0.4412776635
211	0.4402379309
212	0.4398704168
213	0.4387158348
214	0.4379230964
215	0.4374216041
216	0.4365798581
217	0.4356353339
218	0.4347533938
219	0.4337664164
220	0.4334318802
221	0.4332792549
