iter	Passed	Remaining
472	1549	1726
473	1553	1723
474	1556	1720
475	1560	1717
476	1563	1714
477	1567	1711
478	1571	1709
479	1574	1705
480	1577	1702
481	1581	1699
482	1584	1696
483	1588	1693
484	1591	1689
485	1594	1686
486	1597	1683
487	1600	1679
488	1603	1675
489	1606	1672
490	1609	1668
491	1612	1665
492	1615	1661
493	1618	1657
494	1621	1654
495	1624	1650
496	1627	1646
497	1630	1643
498	1633	1639
499	1636	1636
500	1639	1632
501	1642	1629
502	1645	1626
503	1648	1622
504	1651	1619
505	1654	1615
506	1657	1612
507	1660	1608
508	1663	1605
509	1666	1601
510	1669	1597
511	1672	1594
512	1675	1591
513	1678	1587
514	1681	1583
515	1684	1580
516	1687	1576
517	1690	1572
518	1693	1569
519	1696	1565
520	1699	1562
521	1702	1558
522	1705	1555
523	1708	1551
524	1710	1548
525	1713	1544
526	1716	1540
527	1719	1537
528	1722	1533
529	1725	1530
530	1728	1526
531	1731	1523
532	1734	1519
533	1737	1516
534	1740	1512
535	1743	1509
536	1746	1505
537	1749	1501
538	1751	1498
539	1754	1494
540	1757	1491
541	1760	1487
542	1763	1484
543	1766	1480
544	1769	1477
545	1772	1473
546	1775	1470
547	1778	1466
548	1781	1463
549	1784	1459
550	1787	1456
551	1789	1452
552	1792	1449
553	1795	1445
554	1798	1441
555	1801	1438
556	1804	1435
557	1807	1431
558	1810	1428
559	1813	1424
560	1816	1421
561	1819	1417
562	1822	1414
563	1825	1410
564	1828	1407
565	1831	1404
566	1834	1400
567	1836	1397
568	1840	1393
569	1842	1390
570	1845	1386
571	1848	1383
572	1851	1379
573	1854	1376
574	1857	1372
575	1860	1369
576	1863	1366
577	1866	1362
578	1869	1359
579	1872	1355
580	1875	1352
581	1878	1349
582	1881	1345
583	1884	1342
584	1887	1339
585	1890	1335
586	1893	1332
587	1896	1328
588	1899	1325
589	1902	1322
590	1905	1318
591	1908	1315
592	1911	1312
593	1915	1309
594	1918	1306
595	1922	1303
596	1926	1300
597	1929	1297
598	1932	1293
599	1936	1290
600	1939	1287
601	1942	1284
602	1946	1281
603	1950	1278
604	1954	1275
605	1957	1272
606	1961	1269
607	1964	1266
608	1968	1263
609	1971	1260
610	1975	1257
611	1978	1254
612	1981	1251
613	1985	1248
614	1989	1245
615	1992	1242
616	1996	1239
617	2000	1236
618	2003	1233
619	2007	1230
620	2011	1227
621	2014	1224
622	2018	1221
623	2021	1218
624	2025	1215
625	2028	1211
626	2031	1208
627	2034	1205
628	2037	1201
629	2040	1198
630	2043	1195
631	2046	1191
632	2049	1188
633	2053	1185
634	2056	1182
635	2059	1178
636	2062	1175
637	2066	1172
638	2069	1169
639	2072	1165
640	2075	1162
641	2078	1158
642	2081	1155
643	2084	1152
644	2087	1148
645	2090	1145
646	2093	1141
647	2096	1138
648	2099	1135
649	2102	1131
650	2105	1128
651	2108	1125
652	2111	1121
653	2114	1118
654	2117	1115
655	2120	1111
656	2123	1108
657	2126	1105
658	2129	1101
659	2132	1098
660	2135	1095
661	2138	1091
662	2141	1088
663	2144	1085
664	2147	1081
665	2150	1078
666	2153	1075
667	2156	1071
668	2159	1068
669	2162	1065
670	2165	1061
671	2168	1058
672	2171	1055
673	2175	1052
674	2177	1048
675	2180	1045
676	2183	1041
677	2186	1038
678	2189	1035
679	2193	1032
680	2196	1028
681	2199	1025
682	2202	1022
683	2205	1018
684	2208	1015
685	2211	1012
686	2214	1008
687	2217	1005
688	2220	1002
689	2223	999
690	2226	995
691	2229	992
692	2232	988
693	2235	985
694	2238	982
695	2241	978
696	2244	975
697	2247	972
698	2250	969
699	2253	965
700	2256	962
701	2259	959
702	2262	956
703	2266	952
704	2269	949
705	2272	946
706	2275	942
707	2277	939
708	2280	936
709	2284	932
710	2286	929
711	2289	926
712	2292	922
713	2295	919
714	2298	916
715	2301	912
716	2304	909
717	2307	906
718	2309	902
719	2312	899
720	2316	896
721	2319	892
722	2322	889
723	2325	886
724	2328	883
725	2331	879
726	2334	876
727	2337	873
728	2340	869
729	2342	866
730	2346	863
731	2348	860
732	2351	856
733	2354	853
734	2357	850
735	2361	846
736	2364	843
737	2367	840
738	2370	837
739	2372	833
740	2375	830
741	2378	827
742	2381	823
743	2384	820
744	2387	817
745	2390	813
746	2393	810
747	2396	807
748	2399	804
749	2402	800
750	2405	797
751	2408	794
752	2411	790
753	2413	787
754	2416	784
755	2420	781
756	2423	777
757	2426	774
758	2429	771
759	2431	767
760	2434	764
761	2437	761
762	2440	758
763	2443	754
764	2446	751
765	2449	748
766	2452	744
767	2455	741
768	2458	738
769	2461	735
770	2464	731
771	2466	728
772	2469	725
773	2472	722
774	2475	718
775	2478	715
776	2481	712
777	2484	708
778	2487	705
779	2490	702
780	2493	699
781	2496	695
782	2499	692
783	2502	689
784	2505	686
785	2508	682
786	2511	679
787	2514	676
788	2517	673
789	2519	669
790	2522	666
791	2525	663
792	2528	660
793	2531	656
794	2534	653
795	2537	650
796	2540	647
797	2543	643
798	2546	640
799	2549	637
800	2552	634
801	2555	630
802	2558	627
803	2561	624
804	2564	621
805	2567	617
806	2570	614
807	2573	611
808	2576	608
809	2579	605
810	2582	601
811	2585	598
812	2588	595
813	2590	592
814	2593	588
815	2596	585
816	2600	582
817	2602	579
818	2605	575
819	2608	572
820	2611	569
821	2614	566
822	2617	563
823	2620	559
824	2623	556
825	2626	553
826	2629	550
827	2632	546
828	2635	543
829	2638	540
830	2641	537
831	2644	533
832	2647	530
833	2650	527
834	2653	524
835	2655	521
836	2658	517
837	2661	514
838	2664	511
839	2667	508
840	2670	504
841	2673	501
842	2676	498
843	2679	495
844	2682	492
845	2685	488
846	2687	485
847	2690	482
848	2693	479
849	2696	475
850	2699	472
851	2702	469
852	2706	466
853	2709	463
854	2712	459
855	2715	456
856	2718	453
857	2720	450
858	2723	447
859	2726	443
860	2729	440
861	2732	437
862	2735	434
863	2739	431
864	2742	428
865	2745	424
866	2748	421
867	2751	418
868	2754	415
869	2757	412
870	2760	408
871	2763	405
872	2766	402
873	2769	399
874	2771	395
875	2774	392
876	2778	389
877	2780	386
878	2784	383
879	2786	380
880	2789	376
881	2792	373
882	2795	370
883	2798	367
884	2801	364
885	2804	360
886	2807	357
887	2810	354
888	2813	351
889	2816	348
890	2819	344
891	2822	341
892	2825	338
893	2828	335
894	2830	332
895	2833	328
896	2836	325
897	2840	322
898	2843	319
899	2846	316
900	2849	313
901	2852	309
902	2854	306
903	2857	303
904	2860	300
905	2863	297
906	2866	293
907	2869	290
908	2872	287
909	2875	284
910	2878	281
911	2881	278
912	2884	274
913	2886	271
914	2889	268
915	2892	265
916	2895	262
917	2898	258
918	2901	255
919	2904	252
920	2907	249
921	2910	246
922	2913	243
923	2916	239
924	2919	236
925	2922	233
926	2925	230
927	2928	227
928	2931	224
929	2934	220
930	2937	217
931	2940	214
932	2943	211
933	2946	208
934	2949	205
935	2952	201
936	2955	198
937	2958	195
938	2961	192
939	2964	189
940	2967	186
941	2970	182
942	2973	179
943	2976	176
944	2978	173
945	2981	170
946	2984	167
947	2987	163
948	2990	160
949	2993	157
950	2996	154
951	2999	151
952	3002	148
953	3005	144
954	3008	141
955	3011	138
956	3014	135
957	3017	132
958	3020	129
959	3023	125
960	3026	122
961	3029	119
962	3032	116
963	3035	113
964	3038	110
965	3041	107
966	3044	103
967	3047	100
968	3050	97
969	3053	94
970	3055	91
971	3058	88
972	3061	84
973	3064	81
974	3067	78
975	3070	75
976	3073	72
977	3076	69
978	3079	66
979	3082	62
980	3085	59
981	3087	56
982	3090	53
983	3093	50
984	3096	47
985	3099	44
986	3102	40
987	3105	37
988	3108	34
989	3111	31
990	3114	28
991	3117	25
992	3120	21
993	3123	18
994	3126	15
995	3129	12
996	3132	9
997	3135	6
998	3138	3
999	3141	0
